ウィンドウォーク,SN_WINDWALK
ルアフ,AL_RUWACH
メルトダウン,WS_MELTDOWN
マグニフィカート(傭兵),MER_MAGNIFICAT
カートブースト,WS_CARTBOOST
チェイスウォーク,ST_CHASEWALK
リジェクトソード,ST_REJECTSWORD
ヒーター,EL_HEATER
アローバルカン,CG_ARROWVULCAN
月明かりの下で,CG_MOONLIT
マリオネットコントロール,CG_MARIONETTE
スパイラルピアース,LK_SPIRALPIERCE
ヘッドクラッシュ,LK_HEADCRUSH
ジョイントビート,LK_JOINTBEAT
ニューマ,AL_PNEUMA
ナパームバルカン,HW_NAPALMVULCAN
練気功,CH_SOULCOLLECT
マインドブレイカー,PF_MINDBREAKER
メモライズ,PF_MEMORIZE
ウォールオブフォグ,PF_FOGWALL
スパイダーウェブ,PF_SPIDERWEB
メテオアサルト,ASC_METEORASSAULT
クリエイトデッドリーポイズン,ASC_CDP
ママ、パパ、大好き,WE_BABY
ママ、パパ、来て,WE_CALLPARENT
坊や、いらっしゃい,WE_CALLBABY
タイリギ,TK_RUN
フェオリチャギの構え,TK_READYSTORM
フェオリチャギ,TK_STORMKICK
ネリョチャギの構え,TK_READYDOWN
ネリョチャギ,TK_DOWNKICK
テレポート,AL_TELEPORT
トルリョチャギの構え,TK_READYTURN
トルリョチャギ,TK_TURNKICK
アプチャオルリギの構え,TK_READYCOUNTER
アプチャオルリギ,TK_COUNTER
落法,TK_DODGE
ティオアプチャギ,TK_JUMPKICK
穏やかな休息,TK_HPTIME
楽しい休息,TK_SPTIME
ファイト,TK_POWER
暖かい風,TK_SEVENWIND
ノピティギ,TK_HIGHJUMP
太陽と月と星の感情,SG_FEEL
太陽の温もり,SG_SUN_WARM
月の温もり,SG_MOON_WARM
星の温もり,SG_STAR_WARM
太陽の安楽,SG_SUN_COMFORT
ワープポータル,AL_WARP
月の安楽,SG_MOON_COMFORT
星の安楽,SG_STAR_COMFORT
太陽と月と星の憎しみ,SG_HATE
太陽の怒り,SG_SUN_ANGER
月の怒り,SG_MOON_ANGER
星の怒り,SG_STAR_ANGER
太陽の祝福,SG_SUN_BLESS
月の祝福,SG_MOON_BLESS
星の祝福,SG_STAR_BLESS
太陽と月と星の悪魔,SG_DEVIL
永久的な発展,GD_DEVELOPMENT
太陽と月と星の友,SG_FRIEND
太陽と月と星の知識,SG_KNOWLEDGE
太陽と月と星の融合,SG_FUSION
アルケミストの魂,SL_ALCHEMIST
バーサークピッチャー,AM_BERSERKPITCHER
モンクの魂,SL_MONK
ヒール,AL_HEAL
拳聖の魂,SL_STAR
セージの魂,SL_SAGE
ウェポンクイッケン,MER_QUICKEN
クルセイダーの魂,SL_CRUSADER
スーパーノービスの魂,SL_SUPERNOVICE
ナイトの魂,SL_KNIGHT
ウィザードの魂,SL_WIZARD
プリーストの魂,SL_PRIEST
バードとダンサーの魂,SL_BARDDANCER
トロピック,EL_TROPIC
ローグの魂,SL_ROGUE
アサシンの魂,SL_ASSASIN
ブラックスミスの魂,SL_BLACKSMITH
フルアドレナリンラッシュ,BS_ADRENALINE2
ハンターの魂,SL_HUNTER
ソウルリンカーの魂,SL_SOULLINKER
カイゼル,SL_KAIZEL
カアヒ,SL_KAAHI
速度増加,AL_INCAGI
カウプ,SL_KAUPE
カイト,SL_KAITE
カイナ,SL_KAINA
エスティン,SL_STIN
エストン,SL_STUN
エスマ,SL_SMA
エスウ,SL_SWOO
エスク,SL_SKE
エスカ,SL_SKA
プリザーブ,ST_PRESERVE
フルストリップ,ST_FULLSTRIP
武器精錬,WS_WEAPONREFINE
スリムポーションピッチャー,CR_SLIMPITCHER
フルケミカルチャージ,CR_FULLPROTECTION
速度減少,AL_DECAGI
シールドチェーン,PA_SHIELDCHAIN
マナリチャージ,HP_MANARECHARGE
ダブルキャスティング,PF_DOUBLECASTING
ガンバンテイン,HW_GANBANTEIN
グラビテーションフィールド,HW_GRAVITATION
カートターミネーション,WS_CARTTERMINATION
オーバートラストマックス,WS_OVERTHRUSTMAX
私を縛らないで,CG_LONGINGFREEDOM
ヘルモードの杖,CG_HERMODE
運命のタロットカード,CG_TAROTCARD
アシッドデモンストレーション,CR_ACIDDEMONSTRATION
植物栽培,CR_CULTIVATION
テコンミッション,TK_MISSION
転生一次職の魂,SL_HIGH
ワンハンドクイッケン,KN_ONEHAND
アクアベネディクタ,AL_HOLYWATER
トワイライトファーマシー,AM_TWILIGHT1
トワイライトファーマシー2,AM_TWILIGHT2
トワイライトファーマシー3,AM_TWILIGHT3
ビーストストレイフィング,HT_POWER
フリップザコイン,GS_GLITTERING
フライング,GS_FLING
ウィンドカッター,RK_WINDCUTTER
トリプルアクション,GS_TRIPLEACTION
ドラゴンハウリング,RK_DRAGONHOWLING
ブルズアイ,GS_BULLSEYE
リフレッシュ,RK_REFRESH
マッドネスキャンセラー,GS_MADNESSCANCEL
ストームブラスト,RK_STORMBLAST
アジャストメント,GS_ADJUSTMENT
ベナムインプレス,GC_VENOMIMPRESS
