大地の力,SU_POWEROFLAND
チャタリング,SU_CHATTERING
ミャウミャウ,SU_MEOWMEOW
ニャングラス,SU_NYANGGRASS
大地の魂,SU_SPIRITOFLAND
ピッキ突き,SU_PICKYPECK
アクラウスダッシュ,SU_ARCLOUSEDASH
タロウの傷,SU_SCAROFTAROU
キャロットビート,SU_LUNATICCARROTBEAT
生命の力,SU_POWEROFLIFE
警戒,SU_HISS
群れの力,SU_POWEROFFLOCK
サベージの魂,SU_SVG_SPIRIT
生命の魂,SU_SPIRITOFLIFE
私達が一緒なら,WE_CALLALLFAMILY
永遠に続く私達の愛,WE_ONEFOREVER
ママ、パパ、頑張って,WE_CHEERUP
エンチャントブレイド,RK_ENCHANTBLADE
カウンタースラッシュ,GC_COUNTERSLASH
パワースイング,NC_POWERSWING
ソニックウェーブ,RK_SONICWAVE
ジュデックス,AB_JUDEX
フリージングスペル,WL_FREEZE_SP
トラップ研究,RA_RESEARCHTRAP
フェイントボム,SC_FEINTBOMB
修羅身弾,SR_KNUCKLEARROW
シールドプレス,LG_SHIELDPRESS
カートトルネード,GN_CART_TORNADO
ヴェラチュールスピアー,SO_VARETYR_SPEAR
スペルフィスト,SO_SPELLFIST
テトラボルテックス,WL_TETRAVORTEX
レイオブジェネシス,LG_RAYOFGENESIS
大纏崩捶,SR_FALLENEMPIRE
メタリックサウンド,WM_METALICSOUND
スポアエクスプロージョン,GN_SPORE_EXPLOSION
フェイタルメナス,SC_FATALMENACE
アームズキャノン,NC_ARMSCANNON
エイムドボルト,RA_AIMEDBOLT
レノヴァティオ,AB_RENOVATIO
ファイアーダンス,RL_FIREDANCE
ハンマーオブゴッド,RL_HAMMER_OF_GOD
ラウンドトリップ,RL_R_TRIP
ラウンドトリップ,RL_R_TRIP_PLUSATK
バニシングバスター,RL_BANISHING_BUSTER
ドラゴンテイル,RL_D_TAIL
十文字斬り,KO_JYUMONJIKIRI
風魔手裏剣 -乱華-,KO_HUUMARANKA
ブレイクスルー,NV_BREAKTHROUGH
天使さま助けて,NV_HELPANGEL
トランセンデンス,NV_TRANSCENDENCE
手裏剣投げ,NJ_SYURIKEN
苦無投げ,NJ_KUNAI
風魔手裏剣投げ,NJ_HUUMA
霞斬り,NJ_KASUMIKIRI
影斬り,NJ_KIRIKAGE
朔風,NJ_KAMAITACHI
オールステータスダウン,NPC_ALL_STAT_DOWN
グラデュアルグラビティ,NPC_GRADUAL_GRAVITY
デモニックマスブリーディング,NPC_WIDEBLEEDING2
デモニックマスサイレンス,NPC_WIDESILENCE2
デモニックマススタン,NPC_WIDESTUN2
デモニックマスストーン,NPC_WIDESTONE2
デモニックマススリープ,NPC_WIDESLEEP2
デモニックマスカース,NPC_WIDECURSE2
デモニックマスコンフューズ,NPC_WIDECONFUSE2
デモニックマスフリーズ,NPC_WIDEFREEZE2
デモニックブリーディング,NPC_BLEEDING2
デモニックアイスブレス,NPC_ICEBREATH2
デモニックイービルランド,NPC_EVILLAND2
デモニックヘルジャッジメント,NPC_HELLJUDGEMENT2
太陽と月と星の記録,SJ_DOCUMENT
太陽と月と星の浄化,SJ_PURIFY
