陰月的幻影,OB_OBOROGENSOU
不祥的紅月,OB_AKAITSUKI
返回艾可拉珠,ECLAGE_RECALL
冰雪寒葉,ECL_SNOWFLIP
粉紅厚葉,ECL_PEONYMAMY
筮答葵葉,ECL_SADAGUI
世界樹之塵,ECL_SEQUOIADUST
守護之光,ALL_RAY_OF_PROTECTION
心靈淨化,MER_INVINCIBLEOFF2
致命爪痕,GC_DARKCROW
菁英狙擊,RA_UNLIMIT
王的恩典,LG_KINGS_GRACE
龍之氣息-水,RK_DRAGONBREATH_WATER
岩漿噴發,NC_MAGMA_ERUPTION
豐年頌,WM_FRIGG_SONG
精靈結界,SO_ELEMENTAL_SHIELD
緊急脫身,SC_ESCAPE
奉獻頌,AB_OFFERTORIUM
終極念力,WL_TELEKINESIS_INTENSE
烈火戰車,ALL_FULL_THROTTLE
幻覺禁藥,GN_ILLUSIONDOPING
物理道具最大攻擊力,GM_ITEM_ATKMAX
物理道具最小攻擊力,GM_ITEM_ATKMIN
魔法道具最大攻擊力,GM_ITEM_MATKMAX
魔法道具最小攻擊力,GM_ITEM_MATKMIN
廣泛天使之怒,NPC_LEX_AETERNA
魔獸擺\尾,RL_D_TAIL
圓桌舞蹈,RL_R_TRIP
富翁的財貨,RL_RICHS_COIN
絕對貫穿,RL_MASS_SPIRAL
暗黑地獄,RL_B_TRAP
強制驅逐,RL_BANISHING_BUSTERバニシングバスター
粉碎風暴,RL_S_STORM
根源破壞,RL_SLUGSHOT
毀滅重擊,RL_AM_BLAST
無限連鎖,RL_E_CHAIN
瞬速子彈,RL_QD_SHOT
血色烙印,RL_C_MARKER
殺戮暗舞,RL_FIREDANCE
火焰暴雨,RL_FIRE_RAIN
墮落天使,RL_FALLEN_ANGEL
白金祭壇,RL_P_ALTER
閃爍信號,RL_FLICKER
破壞怒吼,RL_H_MINE
天神憤怒,RL_HAMMER_OF_GOD
加速子彈,RL_HEAT_BARREL
布萊奇之詩,BA_POEMBRAGI2
女神之吻,DC_FORTUNEKISS2
轉移力量,GM_FORCE_TRANSFER
公會倉庫擴充,GD_GUILD_STORAGE
廣泛復活術,GM_WIDE_RESURRECTION
返回普隆德拉,ALL_PRONTERA_RECALL
???? ??,ALL_THANATOS_RECALL
前往尼芙菲姆!,ALL_NIFLHEIM_RECALL
新基本技能,SU_BASIC_SKILL
狠咬,SU_BITE
躲藏,SU_HIDE
抓傷,SU_SCRATCH
俯身,SU_STOOP
跳躍,SU_LOPE
靈魂魔珠,SU_SPRITEMABLE
活蝦,SU_FRESHSHRIMP
蝦群,SU_BUNCHOFSHRIMP
鮪魚肚肉,SU_TUNABELLY大トロ
鮪魚派對,SU_TUNAPARTY
獼猴桃梗槍,SU_SV_STEMSPEAR
獼猴桃根莖纏繞,SU_SV_ROOTTWIST
貓薄荷隕石,SU_CN_METEOR
貓薄荷灑粉,SU_CN_POWDERING
小雞啄擊,SU_PICKYPECK
捲甲蟲暴衝,SU_ARCLOUSEDASH
白鼠創傷,SU_SCAROFTAROU
瘋兔胡蘿蔔重擊,SU_LUNATICCARROTBEAT
海洋力量,SU_POWEROFSEA
大地力量,SU_POWEROFLAND
生命力量,SU_POWEROFLIFE
靈魂攻擊,SU_SOULATTACK
喵喵威武,SU_POWEROFFLOCK
野豬之魂,SU_SVG_SPIRITサベージの魂
嘶嘶聲,SU_HISS
喵喵草,SU_NYANGGRASS
舔毛,SU_GROOMING
咕嚕咕嚕,SU_PURRING
美味活蝦派對,SU_SHRIMPARTY
生命之魂,SU_SPIRITOFLIFE
喵喵,SU_MEOWMEOW
大地之魂,SU_SPIRITOFLAND
喵喵不休,SU_CHATTERING
海洋之魂,SU_SPIRITOFSEA
當我們同在一起,WE_CALLALLFAMILY
生生世世永不分離,WE_ONEFOREVER
爸比媽咪請加油,WE_CHEERUP
光芒之矛,IG_RADIANT_SPEAR
帝國十字,IG_IMPERIAL_CROSS
急速撞擊,MT_RUSH_STRIKE
強力揮擊,MT_POWERFUL_SWING
能量加農砲,MT_ENERGY_CANNONADE
神秘粉末,BO_MYSTERY_POWDER
粉塵爆炸,BO_DUST_EXPLOSION
十字斬擊,SHC_CROSS_SLASH
打擊滑步,ABC_HIT_AND_SLIDING
追跡突擊,ABC_CHASING_BREAK
追跡射擊,ABC_CHASING_SHOT
節奏搖擺,TR_RHYTHMICAL_WAVE
四色符,SS_FOUR_CHARM
狂野射擊,NW_WILD_SHOT
午夜墜落,NW_MIDNIGHT_FALLEN
改裝手推車II,MC_CARTDECORATE
返回克雷斯特漢姆,ALL_GLASTHEIM_RECALL
鋼鐵之角,MH_STAHL_HORN
血腥魔刀,MH_XENO_SLASHER
熔岩滑動,MH_LAVA_SLIDE
火山塵暴,MH_PYROCLASTIC
音速刀刃,MH_ERASER_CUTTER
天罰,AB_VITUPERATUM
集結,AB_CONVENIO
月亮光輝,SJ_LIGHTOFMOON
月亮英姿,SJ_LUNARSTANCE
滿月腳,SJ_FULLMOONKICK
朔月腳,SJ_NEWMOONKICK
星星光輝,SJ_LIGHTOFSTAR
星星英姿,SJ_STARSTANCE
閃光腳,SJ_FLASHKICK
拳皇降臨,SJ_STAREMPEROR
新星爆炸,SJ_NOVAEXPLOSING
宇宙英姿,SJ_UNIVERSESTANCE
流星殞落,SJ_FALLINGSTAR
重力調整,SJ_GRAVITYCONTROL
次元之書,SJ_BOOKOFDIMENSION
創星之書,SJ_BOOKOFCREATINGSTAR
太陽和月亮和星星的紀錄,SJ_DOCUMENT
太陽和月亮和星星的淨化,SJ_PURIFY
太陽光輝,SJ_LIGHTOFSUN
